,caseid,label,loss_dice
0,91,loss_dice_label0,0.45664823055267334
1,92,loss_dice_label0,0.4374668002128601
2,93,loss_dice_label0,0.38025546073913574
3,46,loss_dice_label0,0.42716115713119507
4,94,loss_dice_label0,0.4007207155227661
5,76,loss_dice_label0,0.34178733825683594
6,75,loss_dice_label0,0.4194583296775818
7,94a,loss_dice_label0,0.3962671160697937
9,66,loss_dice_label0,0.41348564624786377
10,70,loss_dice_label0,0.38549530506134033
12,91,loss_dice_label1,0.8534488081932068
13,92,loss_dice_label1,0.5100298523902893
14,93,loss_dice_label1,0.7479148507118225
15,46,loss_dice_label1,0.960981011390686
16,94,loss_dice_label1,0.9978326559066772
17,76,loss_dice_label1,0.988630473613739
18,75,loss_dice_label1,0.952711820602417
19,94a,loss_dice_label1,0.9747499823570251
21,66,loss_dice_label1,0.9588559865951538
22,70,loss_dice_label1,1.0
